datetime,temp_2m,pm10,no2,co,o3
2018-01-30 21:00:00,276.15527,4.1968182e-08,2.8113528e-08,4.295713e-07,8.993663e-10
2018-01-31 00:00:00,275.20508,4.7590564e-08,2.7437432e-08,5.100645e-07,1.1428489e-10
2018-01-31 03:00:00,275.70557,4.8877823e-08,2.8136089e-08,5.3889346e-07,4.5629812e-11
2018-01-31 06:00:00,275.51074,5.5641372e-08,2.7456013e-08,6.299815e-07,3.8400248e-11
2018-01-31 09:00:00,277.21362,4.6694137e-08,2.4818306e-08,5.4992876e-07,3.0087952e-09
2018-01-31 12:00:00,278.88916,3.915865e-09,1.119038e-08,2.957205e-07,2.0115175e-08
2018-01-31 15:00:00,279.2356,5.1926605e-09,9.299447e-09,2.620337e-07,2.6390532e-08
2018-01-31 18:00:00,278.79126,1.6457808e-08,1.7488315e-08,3.159308e-07,9.867056e-09
2018-01-31 21:00:00,278.63013,1.9619733e-08,2.0343125e-08,3.3029917e-07,7.573457e-09
2018-02-01 00:00:00,278.37524,1.8568912e-08,2.284341e-08,3.3675303e-07,5.6739866e-09
2018-02-01 03:00:00,278.03955,1.9208628e-08,2.3294053e-08,3.437237e-07,6.033466e-09
2018-02-01 06:00:00,277.50952,1.9809217e-08,2.2640844e-08,3.4682168e-07,5.7905782e-09
2018-02-01 09:00:00,278.062,1.973892e-08,1.6357296e-08,3.5201117e-07,1.105974e-08
2018-02-01 12:00:00,277.9995,9.371046e-09,1.2788913e-08,3.156273e-07,2.0965164e-08
2018-02-01 15:00:00,278.36914,1.178298e-08,1.3314054e-08,2.9244543e-07,2.4652696e-08
2018-02-01 18:00:00,277.5056,3.0301976e-08,2.3667852e-08,3.8817004e-07,1.4134761e-09
2018-02-01 21:00:00,277.2146,4.6310277e-08,2.3559478e-08,5.088937e-07,2.0215524e-10
2018-02-02 00:00:00,275.87524,3.1078393e-08,2.9562065e-08,3.9168938e-07,5.2582076e-09
2018-02-02 03:00:00,275.6521,4.1088832e-08,2.87073e-08,4.5871457e-07,4.0660058e-09
2018-02-02 06:00:00,274.89966,4.3658343e-08,2.6468228e-08,4.872568e-07,3.1670984e-09
2018-02-02 09:00:00,275.4729,4.190363e-08,2.0250518e-08,4.7631298e-07,9.9037205e-09
2018-02-02 12:00:00,279.2063,1.5745194e-08,8.779191e-09,2.7093097e-07,3.6674084e-08
2018-02-02 15:00:00,278.73462,1.0468135e-08,8.761198e-09,2.2880707e-07,4.1415003e-08
